證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","13905000","1982747150","142.75","143.20","142.25","142.65","0.8000","2952"
"0051","元大中型100","81000","4885400","60.30","60.35","60.20","60.35","0.2500","59"
"0052","富邦科技","371000","48724500","131.20","131.60","131.05","131.40","1.2000","96"
"0053","元大電子","4000","274950","68.65","69.00","68.65","69.00","0.5000","4"
"0054","元大台商50","3000","93590","31.10","31.25","31.10","31.24","0.0000","3"
"0055","元大MSCI金融","493000","11942170","24.23","24.27","24.20","24.22","0.0100","193"
"0056","元大高股息","5960000","198850880","33.36","33.40","33.34","33.34","0.0400","2975"
"0057","富邦摩台","24000","2361700","98.55","98.55","98.15","98.40","0.6000","6"
"0061","元大寶滬深","162000","3689180","22.83","22.90","22.75","22.75","-0.0800","49"
"006203","元大MSCI台灣","8000","547600","68.40","68.65","68.25","68.25","0.0500","7"
"006204","永豐臺灣加權","29000","2613200","90.10","90.30","90.05","90.30","0.6500","22"
"006205","富邦上証","1036000","38343230","37.27","37.27","36.93","37.00","0.0700","138"
"006206","元大上證50","88000","3153540","35.85","36.00","35.75","35.83","-0.0400","37"
"006207","FH滬深","392000","11760540","29.99","30.07","29.90","29.90","0.0200","25"
"006208","富邦台50","1852000","148960600","80.30","80.65","80.30","80.40","0.4500","893"
"00625K","富邦上証+R","","","","","","","0.0000",""
"00631L","元大台灣50正2","2011000","284079700","141.10","142.10","140.85","141.25","1.5500","821"
"00632R","元大台灣50反1","81712000","426268130","5.22","5.23","5.20","5.21","-0.0400","4936"
"00633L","富邦上証正2","4423000","246682600","56.10","56.40","55.30","55.65","0.0500","830"
"00634R","富邦上証反1","74000","290430","3.93","3.93","3.91","3.93","-0.0100","16"
"00635U","期元大S&P黃金","660000","15819980","23.94","24.01","23.94","23.99","0.2500","146"
"00636","國泰中國A50","880000","22138140","25.20","25.30","25.07","25.16","0.0100","429"
"00636K","國泰中國A50+U","200","1808","9.04","9.04","9.04","9.04","0.0000","2"
"00637L","元大滬深300正2","29797000","659839510","22.20","22.38","21.94","22.09","0.0400","4877"
"00638R","元大滬深300反1","1797000","14512790","8.07","8.10","8.04","8.09","-0.0100","34"
"00639","富邦深100","379000","6304380","16.56","16.70","16.56","16.58","0.0300","57"
"00640L","富邦日本正2","601000","17727290","29.50","29.60","29.41","29.52","0.4800","100"
"00641R","富邦日本反1","141000","1425550","10.13","10.14","10.10","10.11","-0.0800","27"
"00642U","期元大S&P石油","11243000","145230900","12.90","12.95","12.88","12.91","0.3000","1885"
"00643","群益深証中小","165000","3143870","19.07","19.12","18.93","19.03","0.1300","63"
"00643K","群益深証中小+R","","","","","","","0.0000",""
"00645","富邦日本","155000","4054760","26.20","26.20","26.13","26.19","0.2100","23"
"00646","元大S&P500","309000","12405840","40.20","40.22","40.12","40.14","0.4000","182"
"00647L","元大S&P500正2","165000","12773250","77.35","77.55","77.30","77.55","1.8000","61"
"00648R","元大S&P500反1","1887000","12134190","6.44","6.44","6.42","6.43","-0.0800","123"
"00650L","FH香港正2","2330000","46137360","19.76","19.95","19.62","19.85","0.2800","342"
"00651R","FH香港反1","114000","922450","8.11","8.12","8.06","8.10","-0.0500","41"
"00652","富邦印度","42000","1179080","27.97","28.14","27.97","28.10","0.2400","27"
"00653L","富邦印度正2","429000","18526760","43.10","43.38","43.06","43.26","1.0000","193"
"00654R","富邦印度反1","194000","1634170","8.47","8.47","8.40","8.41","-0.1300","73"
"00655L","國泰中國A50正2","959000","40271760","42.15","42.48","41.64","41.95","0.1000","348"
"00656R","國泰中國A50反1","104000","768460","7.38","7.41","7.36","7.41","0.0000","10"
"00657","國泰日經225","1000","34480","34.48","34.48","34.48","34.48","0.1700","1"
"00657K","國泰日經225+U","200","2484","12.42","12.42","12.42","12.42","0.0700","2"
"00660","元大歐洲50","3000","90140","30.01","30.12","30.01","30.12","0.0000","3"
"00661","元大日經225","4000","143470","35.85","35.92","35.85","35.92","0.0000","2"
"00662","富邦NASDAQ","470000","27194900","57.95","57.95","57.80","57.90","0.7000","170"
"00663L","國泰臺灣加權正2","5000","642450","128.70","128.70","128.35","128.45","1.6000","4"
"00664R","國泰臺灣加權反1","3976000","23473320","5.91","5.92","5.89","5.91","-0.0300","392"
"00665L","富邦恒生國企正2","1166000","16495110","14.28","14.29","13.95","14.16","0.1100","149"
"00666R","富邦恒生國企反1","71000","958570","13.57","13.57","13.50","13.50","-0.1000","3"
"00668","國泰美國道瓊","25000","900670","36.00","36.10","36.00","36.01","0.2400","18"
"00668K","國泰美國道瓊+U","200","2592","12.96","12.96","12.96","12.96","0.1100","2"
"00669R","國泰美國道瓊反1","1195000","9102930","7.63","7.63","7.61","7.61","-0.0700","283"
"00670L","富邦NASDAQ正2","720000","88981350","123.50","123.85","123.40","123.80","3.8000","332"
"00671R","富邦NASDAQ反1","3729000","18332800","4.92","4.92","4.91","4.92","-0.0800","305"
"00673R","期元大S&P原油反1","3772000","51945340","13.80","13.80","13.73","13.78","-0.3500","853"
"00674R","期元大S&P黃金反1","125000","1626580","13.05","13.05","13.00","13.01","-0.1400","26"
"00675L","富邦臺灣加權正2","341000","18855100","55.20","55.55","55.05","55.30","0.7000","151"
"00676R","富邦臺灣加權反1","5432000","17512390","3.23","3.24","3.21","3.22","-0.0300","301"
"00678","群益NBI生技","164000","4437820","27.09","27.09","27.05","27.06","-0.0300","28"
"00680L","元大美債20正2","13000","335060","25.76","25.83","25.76","25.76","0.1100","10"
"00681R","元大美債20反1","8000","103120","12.89","12.89","12.89","12.89","-0.0700","4"
"00682U","期元大美元指數","48000","909280","18.94","18.95","18.94","18.95","-0.0600","27"
"00683L","期元大美元指正2","662000","12279040","18.58","18.58","18.53","18.55","-0.1700","144"
"00684R","期元大美元指反1","","","","","","","0.0000",""
"00685L","群益臺灣加權正2","21000","1018190","48.30","48.80","48.30","48.63","0.8900","14"
"00686R","群益臺灣加權反1","217000","763000","3.52","3.52","3.51","3.52","-0.0100","26"
"00688L","國泰20年美債正2","2000","51540","25.77","25.77","25.77","25.77","0.1800","2"
"00689R","國泰20年美債反1","7000","94830","13.56","13.56","13.54","13.56","-0.0500","4"
"00690","兆豐藍籌30","245000","8267770","33.61","33.82","33.61","33.75","0.1400","26"
"00692","富邦公司治理","2917000","102996200","35.27","35.41","35.24","35.30","0.1700","1001"
"00693U","期街口S&P黃豆","447000","9421330","21.04","21.12","21.01","21.12","0.2300","201"
"00700","富邦恒生國企","282000","4149590","14.64","14.80","14.64","14.71","0.0100","32"
"00701","國泰股利精選30","426000","11330030","26.60","26.61","26.57","26.59","0.0900","163"
"00702","國泰標普低波高息","114000","2312800","20.25","20.30","20.25","20.29","0.0700","10"
"00703","台新MSCI中國","128000","2404230","18.73","18.87","18.72","18.87","0.2700","33"
"00706L","期元大S&P日圓正2","2000","29170","14.58","14.59","14.58","14.59","0.0000","2"
"00707R","期元大S&P日圓反1","","","","","","","0.0000",""
"00708L","期元大S&P黃金正2","1364000","35497770","25.96","26.10","25.96","26.06","0.5000","442"
"00709","富邦歐洲","104000","2452370","23.55","23.61","23.55","23.61","0.1600","5"
"00710B","FH彭博高收益債","678000","12108450","17.86","17.87","17.84","17.86","0.0100","137"
"00711B","FH彭博新興債","114000","2303990","20.25","20.25","20.20","20.20","-0.0300","17"
"00712","FH富時不動產","5397000","71933130","13.29","13.35","13.29","13.33","0.1300","1561"
"00713","元大台灣高息低波","1122000","47519300","42.30","42.40","42.26","42.37","0.1700","341"
"00714","群益道瓊美國地產","253000","5879630","23.24","23.26","23.21","23.25","0.2200","57"
"00715L","期街口布蘭特正2","78460000","751481870","9.57","9.63","9.52","9.57","0.3600","5891"
"00717","富邦美國特別股","502000","8350800","16.62","16.66","16.62","16.63","0.0600","90"
"00728","第一金工業30","392000","11973230","30.46","30.59","30.46","30.57","0.1600","152"
"00730","富邦臺灣優質高息","427000","8399560","19.59","19.70","19.59","19.68","0.0900","210"
"00731","FH富時高息低波","1145000","66861700","58.20","58.40","58.20","58.35","0.1500","132"
"00732","國泰RMB短期報酬","100000","4012000","40.12","40.12","40.12","40.12","-0.0400","2"
"00733","富邦臺灣中小","580000","24200040","41.40","41.82","41.40","41.74","0.3400","206"
"00735","國泰臺韓科技","109000","3607290","32.94","33.10","32.94","33.03","0.1600","8"
"00736","國泰新興市場","113000","2453660","21.68","21.79","21.68","21.78","0.2200","9"
"00737","國泰AI+Robo","403000","13446420","33.38","33.40","33.34","33.36","0.3100","43"
"00738U","期元大道瓊白銀","637000","14790720","23.17","23.29","23.16","23.29","0.3500","243"
"00739","元大MSCI A股","52000","1462800","28.13","28.31","28.09","28.10","0.0300","16"
"00742","新光內需收益","152000","3568720","23.45","23.51","23.45","23.51","0.1100","40"
"00743","國泰中國A150","2000","60280","30.15","30.15","30.13","30.13","0.3700","2"
"00752","中信中國50","1195000","25393310","21.18","21.36","21.16","21.26","0.1100","439"
"00753L","中信中國50正2","1046000","21886410","20.88","21.03","20.65","20.94","0.3700","292"
"00757","統一FANG+","1593000","80356100","50.55","50.60","50.35","50.45","0.6300","482"
"00762","元大全球AI","322000","14475030","44.88","44.98","44.88","44.94","0.4900","102"
"00763U","期街口道瓊銅","109000","3073460","28.18","28.25","28.16","28.20","0.2200","39"
"00770","國泰北美科技","111000","4467600","40.21","40.29","40.20","40.27","0.5000","9"
"00771","元大US高息特別股","7000","131960","18.82","18.86","18.82","18.85","0.0900","6"
"00774B","新光中國政金綠債","2000","80600","40.30","40.30","40.30","40.30","0.0000","2"
"00774C","新光中政金綠債+R","","","","","","","0.0000",""
"00775B","新光投等債15+","2000","84160","42.08","42.08","42.08","42.08","0.1200","2"
"00783","富邦中証500","325000","7995080","24.51","24.62","24.48","24.58","0.0700","15"
"008201","BP上證50","100","11890","118.90","118.90","118.90","118.90","0.0000","1"
"00830","國泰費城半導體","1052000","35951640","34.17","34.27","34.15","34.17","0.3300","281"
"00850","元大臺灣ESG永續","2019000","71522640","35.34","35.50","35.31","35.42","0.2000","538"
"00851","台新全球AI","50000","1782510","35.69","35.71","35.64","35.70","0.3200","8"
"00852L","國泰美國道瓊正2","349000","7747640","22.19","22.22","22.18","22.21","0.3500","104"
"00861","元大全球未來通訊","322000","10440910","32.41","32.45","32.39","32.42","0.3900","165"
"00865B","國泰US短期公債","107000","3899220","36.29","36.47","36.29","36.47","-0.0700","5"
"00875","國泰網路資安","94000","2899020","30.85","30.90","30.81","30.84","0.2300","71"
"00876","元大未來關鍵科技","1098000","36168060","32.87","32.99","32.87","32.92","0.3500","219"
"00878","國泰永續高股息","8744000","165455350","18.90","18.96","18.90","18.91","0.0400","2900"
"00881","國泰台灣5G+","21435000","397591190","18.49","18.60","18.49","18.54","0.1100","5702"
"00882","中信中國高股息","23636000","339365140","14.16","14.46","14.15","14.45","0.3100","4181"
"00885","富邦越南","8920000","156731960","17.72","17.73","17.47","17.49","-0.2300","3453"
"00891","中信關鍵半導體","10408000","177807330","17.07","17.15","17.03","17.05","0.0900","2230"
"00892","富邦台灣半導體","8270000","140557470","16.98","17.05","16.92","16.94","0.1000","1979"
"00893","國泰智能電動車","16718000","275712110","16.47","16.53","16.46","16.52","0.3300","5160"
"00894","中信小資高價30","1640000","26535450","16.18","16.22","16.15","16.18","0.1300","444"
"00895","富邦未來車","8733000","155106110","17.74","17.79","17.72","17.77","0.3900","2591"
"00896","中信綠能及電動車","7306000","111517380","15.22","15.29","15.22","15.28","0.1200","1732"
"00897","富邦基因免疫生技","2236000","29981320","13.44","13.44","13.39","13.40","-0.0300","341"
"00898","國泰基因免疫革命","1358000","13057160","9.64","9.64","9.60","9.60","-0.0400","434"
"00900","富邦特選高股息30","108108000","1655904410","15.40","15.40","15.28","15.28","-0.1400","33946"
"00901","永豐智能車供應鏈","9776000","148524080","15.14","15.23","15.14","15.20","0.1300","2332"
"01001T","土銀富邦R1","148000","2649380","17.90","17.91","17.90","17.91","0.0000","46"
"01002T","土銀國泰R1","108000","1956500","18.15","18.15","18.11","18.11","0.0000","51"
"01003T","兆豐新光R1","67000","1316530","19.65","19.85","19.60","19.85","-0.0500","7"
"01004T","土銀富邦R2","3000","47190","15.73","15.73","15.73","15.73","0.0200","3"
"01007T","兆豐國泰R2","1000","19860","19.86","19.86","19.86","19.86","0.0000","1"
"01009T","王道圓滿R1","26000","237060","9.11","9.14","9.09","9.09","-0.0100","4"
"01010T","京城樂富R1","114000","1178650","10.34","10.35","10.31","10.31","-0.0300","17"
"020000","富邦特選蘋果N","13000","93980","7.23","7.23","7.22","7.23","0.0400","4"
"020002","元富新中國N","","","","","","","0.0000",""
"020004","兆豐電菁英30N","","","","","","","0.0000",""
"020006","永昌中小300N","","","","","","","0.0000",""
"020007","凱基臺灣500N","","","","","","","0.0000",""
"020008","元大特股高息N","22000","283680","12.90","12.91","12.88","12.90","0.0100","10"
"020011","統一微波高息20N","2000","14020","7.01","7.01","7.01","7.01","0.0100","1"
"020012","富邦行動通訊N","","","","","","","0.0000",""
"020015","統一MSCI美低波N","","","","","","","0.0000",""
"020016","統一MSCI美科技N","3000","66060","22.01","22.03","22.01","22.03","0.2900","3"
"020018","統一價值成長30N","9000","172930","19.23","19.23","19.21","19.21","-0.0400","4"
"020019","統一特選台灣5GN","18000","278050","15.44","15.49","15.41","15.42","0.1200","9"
"02001L","富邦蘋果正二N","61000","675880","11.11","11.11","11.05","11.05","0.1100","3"
"02001R","富邦蘋果反一N","","","","","","","0.0000",""
"020020","元大台股領航N","531000","4046380","7.60","7.64","7.60","7.62","0.0300","118"
"020022","元大電動車N","1612000","9125410","5.61","5.68","5.61","5.65","0.0400","225"
"020028","元大特選電動車N","525000","2869290","5.45","5.48","5.44","5.46","0.0400","127"
"020029","元大ESG高股息N","759000","4099010","5.38","5.41","5.38","5.40","0.0300","123"
"020030","統一智慧電動車N","2427000","12716830","5.24","5.25","5.22","5.24","0.0300","211"
"1101","台泥","9351000","445153000","47.30","47.70","47.30","47.70","0.3000","3816"
"1101B","台泥乙特","27000","1406100","52.00","52.10","52.00","52.10","0.0000","11"
"1102","亞泥","10721000","474498050","43.90","44.35","43.85","44.30","0.4000","3223"
"1103","嘉泥","525000","10750750","20.50","20.60","20.40","20.45","0.0000","173"
"1104","環泥","142000","3056750","21.65","21.65","21.45","21.60","0.1000","89"
"1108","幸福","142000","1655700","11.70","11.75","11.65","11.65","0.0000","70"
"1109","信大","262000","5286200","20.25","20.25","20.10","20.20","0.0000","99"
"1110","東泥","230000","4634450","20.40","20.40","20.10","20.10","-0.3000","114"
"1201","味全","433000","9504800","22.05","22.05","21.90","22.00","0.0500","160"
"1203","味王","3000","96800","32.25","32.30","32.25","32.30","-0.2500","2"
"1210","大成","594000","31279500","52.80","52.80","52.60","52.70","0.1000","430"
"1213","大飲","","","","","","","0.0000",""
"1215","卜蜂","191000","15343800","80.40","80.50","80.20","80.40","0.0000","147"
"1216","統一","2416000","164781000","67.90","68.40","67.80","68.30","0.1000","1070"
"1217","愛之味","829000","8592200","10.40","10.45","10.30","10.40","0.0500","324"
"1218","泰山","140000","3780550","27.00","27.05","26.95","27.00","0.0000","101"
"1219","福壽","509000","10071850","19.95","19.95","19.70","19.75","-0.1000","231"
"1220","台榮","72000","1112650","15.45","15.55","15.40","15.50","0.0000","45"
"1225","福懋油","53000","2744600","51.80","51.90","51.60","51.90","0.1000","42"
"1227","佳格","653000","34698400","53.20","53.50","53.00","53.30","0.1000","461"
"1229","聯華","2482000","147676000","58.70","60.20","58.60","59.80","1.1000","1575"
"1231","聯華食","162000","11093400","68.10","69.20","68.00","68.80","0.7000","132"
"1232","大統益","59000","9268000","157.50","157.50","156.50","157.00","0.0000","48"
"1233","天仁","","","","","","","0.0000",""
"1234","黑松","70000","2475950","35.40","35.40","35.35","35.35","-0.0500","41"
"1235","興泰","3000","131650","43.85","43.95","43.85","43.95","0.0500","3"
"1236","宏亞","244000","7085850","30.35","30.35","28.50","28.50","-1.2000","148"
"1256","鮮活果汁-KY","29000","9252500","320.00","320.00","318.00","319.50","-0.5000","28"
"1301","台塑","3889000","404719500","103.50","104.50","103.00","104.50","1.5000","1358"
"1303","南亞","4132000","351521700","85.00","85.40","84.70","85.40","0.6000","1965"
"1304","台聚","2493000","77652900","31.15","31.35","31.05","31.25","0.2000","1281"
"1305","華夏","3176000","110255150","34.95","35.00","34.45","34.60","-0.0500","1640"
"1307","三芳","30000","625750","20.90","20.95","20.80","20.90","0.1000","19"
"1308","亞聚","1955000","71633350","36.95","36.95","36.50","36.60","-0.1000","953"
"1309","台達化","539000","18284000","34.10","34.10","33.80","33.90","0.0000","312"
"1310","台苯","738000","12705750","17.30","17.30","17.15","17.20","0.0000","388"
"1312","國喬","2873000","81325650","28.35","28.40","28.25","28.35","0.1500","1111"
"1312A","國喬特","6000","209900","34.90","35.00","34.90","35.00","-0.0500","3"
"1313","聯成","2111000","44874750","21.45","21.45","21.15","21.35","0.1000","893"
"1314","中石化","10173000","127734000","12.55","12.60","12.50","12.55","0.0500","2215"
"1315","達新","40000","3464500","86.40","87.60","86.40","86.40","-0.4000","25"
"1316","上曜","3089000","62042650","20.20","20.35","19.95","20.00","-0.0500","1075"
"1319","東陽","602000","19630450","32.65","32.75","32.50","32.65","0.0500","300"
"1321","大洋","74000","2579650","34.80","35.00","34.65","35.00","0.3500","50"
"1323","永裕","16000","558250","35.00","35.00","34.80","34.95","0.0000","15"
"1324","地球","41000","481550","11.80","11.85","11.70","11.80","0.0000","28"
"1325","恆大","278000","12491250","44.85","45.20","44.70","44.95","0.0500","205"
"1326","台化","2194000","176008400","79.90","80.60","79.90","80.40","0.6000","1010"
"1337","再生-KY","372000","2701160","7.25","7.29","7.22","7.25","0.0200","154"
"1338","廣華-KY","77000","4192200","54.10","54.70","54.10","54.40","0.3000","60"
"1339","昭輝","81000","2790300","34.60","34.60","34.35","34.50","-0.2500","56"
"1340","勝悅-KY","63000","701350","11.20","11.20","11.10","11.15","-0.0500","41"
"1341","富林-KY","1000","67800","67.80","67.80","67.80","67.80","0.5000","1"
"1342","八貫","93000","5649100","61.00","61.20","60.40","61.00","0.3000","72"
"1402","遠東新","4105000","117777100","28.65","28.80","28.55","28.80","0.2000","1603"
"1409","新纖","2053000","41238100","20.10","20.20","20.05","20.10","0.0500","855"
"1410","南染","216000","8073600","37.25","37.80","37.15","37.15","-0.2500","175"
"1413","宏洲","160000","1687700","10.60","10.65","10.40","10.60","0.0500","70"
"1414","東和","1082000","21482150","19.80","20.05","19.75","19.75","0.0000","428"
"1416","廣豐","129000","1447200","11.25","11.25","11.15","11.15","-0.1000","63"
"1417","嘉裕","203000","2926750","14.60","14.60","14.35","14.40","-0.0500","81"
"1418","東華","","","","","","","0.0000",""
"1419","新紡","105000","4476600","43.00","43.00","42.45","42.70","-0.3000","54"
"1423","利華","13000","258550","19.95","20.00","19.75","19.90","-0.0500","12"
"1432","大魯閣","132000","1686300","12.80","12.85","12.70","12.75","-0.0500","60"
"1434","福懋","20642000","590806100","28.25","28.85","28.25","28.60","0.5500","5084"
"1435","中福","85000","2443050","29.50","29.50","28.20","28.55","-0.8000","35"
"1436","華友聯","37000","1989500","54.00","54.00","53.70","54.00","0.1000","25"
"1437","勤益控","68000","1736050","25.50","25.60","25.50","25.55","0.0500","35"
"1438","三地開發","60000","1814950","30.25","30.30","30.10","30.20","-0.0500","40"
"1439","中和","30000","703700","23.35","23.70","23.30","23.45","0.1500","16"
"1440","南紡","33356000","876344500","26.95","27.15","25.80","25.95","-1.0500","13284"
"1441","大東","35000","325890","9.33","9.35","9.28","9.32","-0.0100","26"
"1442","名軒","615000","13422250","22.20","22.30","21.70","21.70","-0.4000","291"
"1443","立益","56000","948150","16.40","17.20","16.40","17.10","0.3500","33"
"1444","力麗","2940000","32916250","11.10","11.35","11.05","11.15","0.1000","910"
"1445","大宇","306000","4725350","15.45","15.50","15.40","15.45","0.0500","76"
"1446","宏和","108000","3645700","33.90","34.00","33.65","34.00","0.0500","67"
"1447","力鵬","1428000","14635500","10.20","10.30","10.20","10.25","0.1000","460"
"1449","佳和","139000","2107000","14.95","15.40","14.95","15.00","0.0000","62"
"1451","年興","67000","1416900","21.25","21.25","20.95","21.20","0.0500","39"
"1452","宏益","202000","4815850","24.05","24.05","23.70","23.90","0.0000","119"
"1453","大將","127000","1143970","9.02","9.07","8.98","8.98","-0.0500","43"
"1454","台富","1003000","14780100","14.75","14.95","14.45","14.90","-0.0500","427"
"1455","集盛","1877000","31015900","16.70","16.70","16.45","16.50","-0.1000","840"
"1456","怡華","92000","2000100","21.90","22.05","21.55","21.80","-0.1500","59"
"1457","宜進","670000","12460550","18.65","18.75","18.50","18.60","0.0500","279"
"1459","聯發","355000","4576850","13.00","13.10","12.80","12.85","-0.1500","177"
"1460","宏遠","973000","9192000","9.47","9.48","9.43","9.46","0.0400","368"
"1463","強盛","51000","739500","14.55","14.55","14.45","14.55","-0.0500","35"
"1464","得力","393000","6146250","15.60","15.75","15.50","15.75","0.2000","200"
"1465","偉全","31000","387800","12.55","12.55","12.50","12.55","0.0500","17"
"1466","聚隆","180000","2746300","15.40","15.40","15.20","15.30","0.0000","79"
"1467","南緯","130000","1788000","13.85","13.85","13.70","13.80","0.0500","62"
"1468","昶和","74000","939650","12.75","12.85","12.60","12.85","0.0500","44"
"1470","大統新創","2000","35900","17.85","18.05","17.85","18.05","-0.1500","2"
"1471","首利","704000","5991770","8.47","8.61","8.46","8.46","-0.0600","280"
"1472","三洋實業","1000","31100","31.10","31.10","31.10","31.10","0.1000","1"
"1473","台南","35000","628250","18.00","18.00","17.90","17.95","-0.0500","21"
"1474","弘裕","1462000","22462450","15.15","15.50","15.15","15.50","0.3500","511"
"1475","業旺","65000","3252900","50.20","50.40","49.50","50.00","1.0000","25"
"1476","儒鴻","155000","96311000","621.00","624.00","618.00","620.00","0.0000","139"
"1477","聚陽","360000","89229000","246.50","249.00","246.50","248.50","2.0000","222"
"1503","士電","16000","856900","53.60","53.70","53.50","53.50","0.1000","14"
"1504","東元","1161000","35891400","30.90","31.00","30.75","31.00","0.3000","545"
"1506","正道","1158000","17091650","15.00","15.05","14.50","14.90","-0.1500","478"
"1507","永大","147000","9440200","64.30","64.30","64.20","64.30","0.0000","60"
"1512","瑞利","127000","475320","3.73","3.78","3.73","3.77","0.0400","39"
"1513","中興電","6175000","276113250","44.80","45.35","44.25","44.80","1.0000","3070"
"1514","亞力","746000","18882150","25.70","25.70","25.20","25.35","-0.2000","336"
"1515","力山","744000","42364000","57.50","57.50","56.70","57.10","-0.4000","488"
"1516","川飛","187000","4514250","24.40","24.40","24.05","24.20","-0.2000","100"
"1517","利奇","780000","21315350","27.25","27.65","27.20","27.20","0.0500","445"
"1519","華城","224000","8240100","36.85","37.15","36.60","36.70","0.1000","179"
"1521","大億","57000","2286550","40.15","40.15","40.05","40.10","-0.0500","44"
"1522","堤維西","147000","2805250","19.20","19.25","19.00","19.00","0.0000","84"
"1522A","堤維西甲特","364000","16016600","44.05","44.20","44.00","44.20","0.1500","12"
"1524","耿鼎","465000","5016300","10.80","10.90","10.70","10.85","0.0500","188"
"1525","江申","20000","1220600","61.70","61.80","60.70","61.10","-0.1000","19"
"1526","日馳","164000","7969500","48.50","48.85","48.30","48.60","0.2000","108"
"1527","鑽全","128000","5499600","42.85","43.10","42.85","42.85","0.0000","84"
"1528","恩德","495000","5878950","11.85","11.95","11.80","11.95","0.2000","171"
"1529","樂士","2549000","55855850","21.75","22.55","21.35","21.60","0.3000","1334"
"1530","亞崴","11000","363000","33.00","33.05","32.95","33.05","0.1500","10"
"1531","高林股","133000","2111600","15.85","15.95","15.85","15.90","0.0500","54"
"1532","勤美","119000","3863450","32.60","32.60","32.20","32.60","0.1500","71"
"1533","車王電","709000","41868900","58.50","60.10","58.10","58.90","1.2000","542"
"1535","中宇","108000","4340650","40.30","40.35","40.05","40.15","0.0500","74"
"1536","和大","699000","63727400","91.70","91.80","90.80","90.90","-0.1000","455"
